model,class,precision,recall,f1,support
TF-IDF + LinearSVC,negative,0.6148953087728598,0.5840886203423967,0.5990961910910265,3972
TF-IDF + LinearSVC,neutral,0.6411247803163445,0.6144517433046993,0.6275049453857401,5937
TF-IDF + LinearSVC,positive,0.5498050336760014,0.6530526315789473,0.5969976905311778,2375
TextCNN ensemble,negative,0.6120411160058737,0.5246727089627392,0.5649993222177037,3972
TextCNN ensemble,neutral,0.6261774913237481,0.6382011116725619,0.6321321321321322,5937
TextCNN ensemble,positive,0.5254596888260255,0.6256842105263158,0.5712089179319624,2375
BiGRU ensemble,negative,0.5976106434971491,0.5541289023162135,0.5750489875898106,3972
BiGRU ensemble,neutral,0.633730552797087,0.6449385211386222,0.6392854161449203,5937
BiGRU ensemble,positive,0.5635013677217663,0.6071578947368421,0.5845156059991893,2375
BERTweet ensemble,negative,0.721998579209093,0.7676233635448136,0.7441122635753509,3972
BERTweet ensemble,neutral,0.7390416047548292,0.6702038066363484,0.7029414362688808,5937
BERTweet ensemble,positive,0.6682853940978708,0.7532631578947369,0.7082343626286619,2375
