group,model,texts,accuracy
negation,TF-IDF + LinearSVC,2158,0.572289156626506
negation,TextCNN ensemble,2158,0.5588507877664504
negation,BiGRU ensemble,2158,0.5593141797961075
negation,BERTweet ensemble,2158,0.6964782205746061
url,TF-IDF + LinearSVC,376,0.6356382978723404
url,TextCNN ensemble,376,0.6409574468085106
url,BiGRU ensemble,376,0.6329787234042553
url,BERTweet ensemble,376,0.6968085106382979
mention,TF-IDF + LinearSVC,4997,0.631578947368421
mention,TextCNN ensemble,4997,0.6075645387232339
mention,BiGRU ensemble,4997,0.6167700620372223
mention,BERTweet ensemble,4997,0.731638983390034
hashtag,TF-IDF + LinearSVC,4825,0.6107772020725388
hashtag,TextCNN ensemble,4825,0.6082901554404145
hashtag,BiGRU ensemble,4825,0.6180310880829015
hashtag,BERTweet ensemble,4825,0.7110880829015545
emoji,TF-IDF + LinearSVC,809,0.6477132262051916
emoji,TextCNN ensemble,809,0.5908529048207664
emoji,BiGRU ensemble,809,0.584672435105068
emoji,BERTweet ensemble,809,0.7181705809641533
1-6 words,TF-IDF + LinearSVC,828,0.6654589371980676
1-6 words,TextCNN ensemble,828,0.6340579710144928
1-6 words,BiGRU ensemble,828,0.642512077294686
1-6 words,BERTweet ensemble,828,0.7729468599033816
7-15 words,TF-IDF + LinearSVC,5778,0.6202838352371063
7-15 words,TextCNN ensemble,5778,0.6119764624437521
7-15 words,BiGRU ensemble,5778,0.6171685704395985
7-15 words,BERTweet ensemble,5778,0.7206645898234684
16-25 words,TF-IDF + LinearSVC,5434,0.5966139124033861
16-25 words,TextCNN ensemble,5434,0.583548030916452
16-25 words,BiGRU ensemble,5434,0.5960618329039382
16-25 words,BERTweet ensemble,5434,0.7073978652926022
26+ words,TF-IDF + LinearSVC,244,0.5819672131147541
26+ words,TextCNN ensemble,244,0.5204918032786885
26+ words,BiGRU ensemble,244,0.5532786885245902
26+ words,BERTweet ensemble,244,0.6926229508196722
